Size,Acc from small
0.01,6.94E-07
0.0146,1.32E-06
0.1,3.43E-05
0.144,6.36E-05
0.208,0.000118486
0.3,0.000220309
0.434,0.000411734
0.626,0.000765642
0.903,0.001423912
1.3,0.002639288
1.88,0.004929528
2.71,0.009156798
3.91,0.017035098
5.65,0.031772809
8.15,0.059081013
11.8,0.110540941
17,0.205045865
24.5,0.380414506
35.3,0.7049416
51,1.310511759
73.6,2.425322843
106,4.451814069
153,8.128823707
221,14.61827045
319,25.49030745
461,42.24284696
665,63.97289637
959,85.00979195
1384,97.07602953
1997,99.86015898
2881,99.99950969
4158,99.99999999
6000,100
