Size,Acc from small
0.01,0.00
0.0146,0.00
0.1,0.00
0.144,0.01
0.208,0.01
0.3,0.02
0.434,0.02
0.626,0.04
0.903,0.05
1.3,0.08
1.88,0.13
2.71,0.19
3.91,0.29
5.65,0.44
8.15,0.68
11.8,1.03
17,1.56
24.5,2.36
35.3,3.57
51,5.40
73.6,8.10
106,12.04
153,17.75
221,25.76
319,36.48
461,49.95
665,65.13
959,79.87
1384,91.29
1997,97.57
2881,99.65
4158,99.98
6000,100.00
